coil_id,x,y,z
0,0.778210,2.324891,1.220143
0,0.775309,2.271760,1.196181
0,0.773040,2.218713,1.172129
0,0.771402,2.165756,1.147987
0,0.770390,2.112899,1.123758
0,0.770003,2.060150,1.099443
0,0.770237,2.007518,1.075045
0,0.771090,1.955009,1.050564
0,0.772556,1.902634,1.026004
0,0.774634,1.850399,1.001366
0,0.777320,1.798313,0.976651
0,0.780609,1.746384,0.951862
0,0.784499,1.694619,0.927000
0,0.788984,1.643027,0.902068
0,0.794062,1.591615,0.877067
0,0.799728,1.540391,0.851999
0,0.805978,1.489362,0.826867
0,0.812807,1.438536,0.801671
0,0.820210,1.387920,0.776414
0,0.828184,1.337523,0.751099
0,0.836724,1.287349,0.725726
0,0.845824,1.237408,0.700298
0,0.855480,1.187706,0.674816
0,0.865687,1.138250,0.649283
0,0.876439,1.089046,0.623701
0,0.887732,1.040103,0.598071
0,0.899560,0.991425,0.572396
0,0.911918,0.943020,0.546677
0,0.924800,0.894895,0.520916
0,0.938201,0.847055,0.495116
0,0.952115,0.799506,0.469278
0,0.966537,0.752256,0.443404
0,0.981459,0.705310,0.417496
0,0.996877,0.658674,0.391557
0,1.012785,0.612353,0.365588
0,1.029176,0.566354,0.339591
0,1.046044,0.520682,0.313568
0,1.063384,0.475342,0.287521
0,1.081188,0.430340,0.261453
0,1.099450,0.385682,0.235364
0,1.118165,0.341371,0.209258
0,1.137324,0.297414,0.183136
0,1.156923,0.253815,0.156999
0,1.176953,0.210579,0.130851
0,1.197409,0.167710,0.104693
0,1.218284,0.125214,0.078527
0,1.239570,0.083094,0.052354
0,1.261262,0.041354,0.026178
0,1.283351,0.000000,0.000000
0,1.254923,-0.041410,-0.026178
0,1.226827,-0.083316,-0.052354
0,1.199070,-0.125717,-0.078527
0,1.171662,-0.168609,-0.104693
0,1.144610,-0.211991,-0.130851
0,1.117924,-0.255859,-0.156999
0,1.091611,-0.300210,-0.183136
0,1.065680,-0.345041,-0.209258
0,1.040139,-0.390350,-0.235364
0,1.014997,-0.436131,-0.261453
0,0.990261,-0.482383,-0.287521
0,0.965940,-0.529101,-0.313568
0,0.942043,-0.576281,-0.339591
0,0.918577,-0.623920,-0.365588
0,0.895550,-0.672014,-0.391557
0,0.872971,-0.720557,-0.417496
0,0.850847,-0.769546,-0.443404
0,0.829187,-0.818976,-0.469278
0,0.807999,-0.868843,-0.495116
0,0.787290,-0.919141,-0.520916
0,0.767069,-0.969866,-0.546677
0,0.747342,-1.021013,-0.572396
0,0.728119,-1.072576,-0.598071
0,0.709406,-1.124550,-0.623701
0,0.691212,-1.176930,-0.649283
0,0.673543,-1.229709,-0.674816
0,0.656408,-1.282883,-0.700298
0,0.639813,-1.336445,-0.725726
0,0.623766,-1.390389,-0.751099
0,0.608275,-1.444708,-0.776414
0,0.593346,-1.499398,-0.801671
0,0.578986,-1.554451,-0.826867
0,0.565204,-1.609860,-0.851999
0,0.552005,-1.665619,-0.877067
0,0.539397,-1.721722,-0.902068
0,0.527386,-1.778160,-0.927000
0,0.515979,-1.834928,-0.951862
0,0.505183,-1.892017,-0.976651
0,0.495004,-1.949421,-1.001366
0,0.485448,-2.007133,-1.026004
0,0.476523,-2.065144,-1.050564
0,0.468233,-2.123446,-1.075045
0,0.460586,-2.182033,-1.099443
0,0.453587,-2.240896,-1.123758
0,0.447242,-2.300028,-1.147987
0,0.441557,-2.359419,-1.172129
0,0.436538,-2.419062,-1.196181
0,0.432190,-2.478949,-1.220143
0,0.428519,-2.539070,-1.244011
0,0.425529,-2.599418,-1.267785
0,0.423227,-2.659984,-1.291462
0,0.421617,-2.720759,-1.315041
0,0.420704,-2.781734,-1.338520
0,0.420494,-2.842900,-1.361897
0,0.420990,-2.904249,-1.385170
0,0.422198,-2.965770,-1.408337
0,0.424122,-3.027455,-1.431398
0,0.426766,-3.089294,-1.454349
0,0.430135,-3.151278,-1.477189
0,0.434232,-3.213398,-1.499918
0,0.439062,-3.275643,-1.522531
0,0.444627,-3.338005,-1.545029
0,0.450933,-3.400472,-1.567409
0,0.457982,-3.463037,-1.589670
0,0.465779,-3.525688,-1.611810
0,0.474325,-3.588416,-1.633827
0,0.483624,-3.651210,-1.655720
0,0.493679,-3.714060,-1.677486
0,0.504493,-3.776957,-1.699125
0,0.516068,-3.839890,-1.720635
0,0.528408,-3.902849,-1.742013
0,0.541514,-3.965823,-1.763259
0,0.555388,-4.028801,-1.784370
0,0.570032,-4.091774,-1.805346
0,0.585449,-4.154731,-1.826184
0,0.601640,-4.217661,-1.846883
0,0.618607,-4.280553,-1.867441
0,0.636351,-4.343398,-1.887857
0,0.654872,-4.406183,-1.908130
0,0.674173,-4.468899,-1.928257
0,0.694255,-4.531534,-1.948237
0,0.715117,-4.594079,-1.968069
